id,testId,order,text,explanation,correctKey
q3,mindset-4,3,理想的なお金の使い方として、手取り金額の何％で生活できると「非常に優秀」とされていましたか？,手取りの70％で生活できれば非常に優秀とされています。例えば手取り35万円なら24.5万円で生活し、残りを貯金や投資に充てることが可能です。,C
q4,mindset-4,4,物価上昇の影響を考慮し、現実的に目安とされていた生活費割合はどれでしょうか？,物価上昇に収入が追いついていない状況を踏まえ、80％で生活できていれば良いとされています。例えば手取り35万円なら28万円で生活し、7万円を残せます。,D
q5,mindset-4,5,生活費が手取りの80％以上に達している場合、まず優先すべき行動は何でしょうか？,生活費が80％を超えている場合は、まず支出を見直すことが優先です。外食やタクシー利用、趣味や飲み会などを改善し、それでも厳しい場合は収入を増やす工夫をします。,C
q1,mindset-5,1,動画で「人の行動の仕組み」として説明されていた流れはどれでしょうか？,人の行動は「思い込み（パラダイム）」から始まり、感情→言葉→行動→結果という流れをたどります。お金に対する思い込みが現実を作る土台になります。,A
q2,mindset-5,2,「パラダイム」とは何を指す言葉でしょうか？,パラダイムとは「根本的な考え方や価値観、ものの見方や捉え方」を指します。お金に対するパラダイムが、その人の感情や行動、最終的な結果を左右します。,B
q3,mindset-5,3,お金に対する思い込みが良いイメージであれば、どのような結果につながりやすいと説明されていましたか？,お金やお金持ちを良いイメージで捉えると、行動が前向きになりやすく、結果としてお金が増える可能性が高まります。逆に悪いイメージは否定的な結果を生みます。,C
q4,mindset-5,4,動画で説明された「お金との関係性」は全部でいくつの種類がありましたか？,お金との関係性は「お金に支配される」「お金を支配する」「お金と対等」の3種類です。人間関係に例えると、萎縮・横暴・信頼の3パターンになります。,C
q5,mindset-5,5,「お金と自分が対等な関係」とはどのような状態を指していましたか？,お金と自分が対等な関係とは、お金と親友やパートナーのように信頼し合える状態です。理解しあい、助け合える関係が「お金持ちな自分になる思考」の土台となります。,D
q1,mindset-6,1,お金持ちになるために重要だと説明されていた「セルフイメージ」とは何を指しますか？,セルフイメージとは「自分が思っている自分のこと」です。自分は〇〇な人間、自分には〇〇がふさわしい、と心から思えるかどうかが現実を左右します。,B
q2,mindset-6,2,セルフイメージのルールについて正しく説明しているのはどれでしょうか？,セルフイメージは「自分にふさわしい」と思う場所で止まり、そこより下がっても上がっても苦痛を感じます。そのため変化を避け、現状に留まりやすくなります。,A
q3,mindset-6,3,セルフイメージをなかなか変えられない理由として説明されていたものはどれでしょうか？,セルフイメージを変えるには「苦痛」を伴います。現実を直視する、努力する、新しいことを始めるなど、変化への苦痛が人を同じ場所に留めてしまいます。,C
q4,mindset-6,4,セルフイメージを変えるために最も重要とされていたのはどれでしょうか？,セルフイメージを変えるためには、まず「自分を信じること」が大前提です。できないと思えば現実もその通りになり、できると信じれば行動が変わっていきます。,C
q5,mindset-6,5,理想の場所に近づくために必要だと説明されていた行動はどれでしょうか？,セルフイメージを変えるには、理想を明確にし、現状とのギャップを自覚し、その差を埋めるためにコツコツ学んで実践することが大切です。,B
q1,mindset-7,1,「貯金」に対する正しい考え方として説明されていたのはどれでしょうか？,貯金は「夢を叶えるチケット」や「自分や家族を守る盾」となるポジティブなものです。ネガティブなイメージでは続かず、未来の自分のためと考えることが大切です。,B
q2,mindset-7,2,貯金を継続する上で最も大切だと説明されていたポイントはどれでしょうか？,貯金は「何のためにするのか」という目的が明確でないと途中で挫折しやすくなります。目的をしっかり持つことでモチベーションが続き、習慣化につながります。,B
q3,mindset-7,3,「生活防衛費」として目安とされていたのは、生活費の何ヶ月分でしょうか？,生活防衛費は3〜6ヶ月分が目安です。失業や病気など予期せぬ事態に備えるためで、この期間の生活費があれば安心して次の行動に移れます。,C
q4,mindset-7,4,貯金を続けるためのルールに含まれていた内容はどれでしょうか？,「先に貯金分を確保する」「生活費と貯金口座を分ける」「引き出しにくい環境に置く」の3つです。仕組みで守ることが継続のカギです。,C
q5,mindset-7,5,「口座を分ける」ことのメリットとして説明されていたのはどれでしょうか？,口座を分けると、お金の流れが分かりやすくなり、うっかり貯金を使ってしまうのを防げます。人の意志だけに頼らず「仕組み」で守るのがポイントです。,B
q1,mindset-8,1,現在の日本の銀行の普通預金金利が0.1％の場合、100万円を1年間預けたときの利息はいくらでしょうか？,100万円×0.1％＝1000円です。手数料数百円で利息が吹き飛ぶほど低金利であり、長期的に資産を大きく増やすのは難しいのが現状です。,C
q2,mindset-8,2,物価上昇による「お金の価値が下がる」具体例として挙げられていたのはどれでしょうか？,去年100円で買えたお菓子が今年は110円になると、同じ100円でも買えなくなります。これが物価上昇による「お金の価値が下がる」ということです。,B
q3,mindset-8,3,過去に日本で「貯金だけで資産が増えた時代」があった理由として正しいのはどれでしょうか？,解説：かつては銀行に預けるだけで年6〜8％の金利がつきました。そのため投資をしなくても資産が増え、年金や退職金と合わせて安心できる環境がありました。,B
q4,mindset-8,4,銀行の主な役割として説明されていた2つはどれでしょうか？,解説：銀行の役割は「お金を預かること」と「お金を貸すこと」です。預金者から預かったお金を貸し出し、金利で利益を得ています。,C
q5,mindset-8,5,銀行預金についてどのように説明されていましたか？,金利が低い今の時代、銀行に預けるだけでは資産は増えにくいため、銀行預金以外にも自分でお金を増やす方法を身につける必要があります。,C
q1,mindset-9,1,この動画で定義されていた「お金持ち」とはどのような人を指していましたか？,お金持ちとは「経済的な心配なく妥協しない選択ができ、時間も自由に使える人」と定義されました。収入や職業だけでは本当のお金持ちとは限りません。,C
q2,mindset-9,2,労働所得と資産所得の違いについて正しいのはどれでしょうか？,労働所得は会社員や自営業など「自分の時間」で稼ぐ収入。資産所得は投資や仕組みによって「自分が働かなくても得られる収入」です。,D
q3,mindset-9,3,お金の自由を得るために必要とされた4つのステップに含まれていたのはどれでしょうか？,自由を得るステップは「知識を得る」「増やし方を学ぶ」「労働所得から資産所得へ移行」「新しい常識を受け入れ実践」の4つです。働き続けるだけでは自由は得られません。,D
q4,mindset-9,4,世の中の資産の偏りについて説明されていた内容はどれでしょうか？,たった2割の人が世の中の8割の資産を持っています。残り8割の人で2割を分け合っているのが現状です。,E
q5,mindset-9,5,動画のまとめとして「お金」についてどのように取り組むことが強調されていましたか？,お金は健康や人間関係などと並ぶ幸福の要素の一つ。全てではないが悩みや制限を減らす手段となるため、まずお金の問題を攻略していきましょう,C
q1,mindset-10,1,動画で紹介されていた「宝くじや仮想通貨で大金を得たのに破産した人たち」の原因の一つは何でしょうか？,一時的に大金を得ても「正しい考え方や使い方」を知らないと維持できません。お金を持ち続ける思考を身につけることが重要です。,B
q2,mindset-10,2,貧乏脳の特徴として挙げられていたものはどれでしょうか？,解説：貧乏脳の特徴は「短期的思考」「無計画な衝動買い」「ネガティブ思考」「お金やお金持ちへの悪いイメージ」「よくない借金が多い」などです。,C
q3,mindset-10,3,お金持ち脳の特徴として正しいのはどれでしょうか？,お金持ち脳の特徴は「長期的な思考」「目的を持ったお金の使い方」「ポジティブ思考」「自分や人のために使う」「借金やローンをうまく活用する」などです。,A
q4,mindset-10,4,鶏と卵の例えで「3〜5年思考」に当てはまる行動はどれでしょうか？,3〜5年思考は「卵→ひよこ→鶏→さらに卵」という長期的な循環を待てる考え方です。資産を数年かけて育てるイメージに当たります。,B
q5,mindset-10,5,鶏と卵の例えで「10年思考」にあたるのはどの行動でしょうか？,10年思考とは、鶏を育てて終わりではなく「卵を産む鶏を増やし、養鶏場を作る」こと。お金を生む仕組みを構築し拡大する考え方です。,D
q1,mindset-11,1,動画で紹介されていた「お金の3つの使い方」に含まれていないものはどれでしょうか？,お金の使い方は「投資」「消費」「浪費」の3種類です。寄付は直接触れられておらず、生活費は「消費」に含まれます。,D
q2,mindset-11,2,浪費について動画で説明されていた内容として正しいのはどれでしょうか？,浪費は「感情や気分での支出」ですが、必ずしも悪ではなく、楽しみや彩りを与える役割もあります。バランスを取ることが大切です。,C
q3,mindset-11,3,「お金持ち脳」のキャッシュフローの特徴はどれでしょうか？,お金持ち脳は収入を資産に変え、資産からの利益で生活費をまかないます。これにより資産が増えるほど働かなくてもお金が入る仕組みができます。,C
q4,mindset-11,4,動画で紹介された「キャッシュフローの2つの視点」に含まれていたものはどれでしょうか？,キャッシュフローには「収入と支出の流れ」と「資産と負債の増減」の2つの視点があります。本来は事業で使う考え方ですが、個人にも応用可能です。,A
q5,mindset-11,5,動画の最後に紹介されていた「今日からできる小さな実践」として正しいのはどれでしょうか？,「これは投資か消費か浪費か？」と考えてお金を使い、1日の終わりに支出を振り返ることで意識が変わります。小さな習慣が大きな変化につながります。,B
q1,mindset-12,1,「お金のなる木」とは何を指していましたか？,お金のなる木とは「株の配当、不動産収入、ビジネスや投資など自動的にお金が入る仕組み」を指します。働かなくても収入を生む仕組みを育てることが重要です。,B
q2,mindset-12,2,お金と付き合う上での基本の5サイクルとして正しい順番はどれでしょうか？,お金の基本サイクルは「稼ぐ→貯める→使う→守る→増やす」です。この順番を崩すと資産形成は不安定になります。,C
q3,mindset-12,3,動画で最も大事だと強調されていた力はどれでしょうか？,最も大事なのは「貯める力」です。焦って増やすことを先にしてしまうとリスクが大きく、安定した資産形成にはまず貯める習慣が欠かせません。,C
q4,mindset-12,4,「バビロン大富豪の教え」で説かれている基本的なお金のルールとして正しいのはどれでしょうか？,「バビロン大富豪の教え」では収入の1/10を必ず貯金することが成功の第一歩と説かれています。貯める習慣がある人にはお金が自然と集まるとされています。,C
q5,mindset-12,5,資産所得で生活費を上回った状態を指す表現として正しいのはどれでしょうか？,資産所得が生活費を上回ると「お金が自分のために働く常識」に移行します。この状態では働かなくても生活が成り立ち、時間的な自由を得られます。,C
q1,finance_basics-1,1,投資に取り組む前に身につけておくべき習慣はどれでしょうか,投資の前に大切なのは「先取り貯蓄」の習慣です。給料の約2割を残せると理想的で、まず貯める力をつけることが資産形成の土台になります。,C
q2,finance_basics-1,2,初心者に向いている投資手段はどれでしょうか？,初心者には投資信託が適しています。リスクを抑えながら長期で運用しやすく、安心して資産形成を始められます。,B
q3,finance_basics-1,3,投資をしていくうえで大切な3つの要素はどれでしょうか？,大切なのは「積立に回せる金額」「金融商品の質」「積立年数」の3つです。このバランスがゴール達成の現実性を左右します。,A
q4,finance_basics-1,4,「少額×積立×超長期」における「超長期」とはおおよそ何年以上を指しますか？,「超長期」とはおおむね25年以上を指します。少額でも長期で積み立てることで、リスクを抑えつつ資産形成を安定させやすくなります。,E
q5,finance_basics-1,5,毎月一定額を積み立てることで平均購入単価を下げる効果がある投資手法はどれでしょうか？,ドルコスト平均法は価格が高いときは少なく、安いときは多く買う仕組みです。長期継続で平均購入単価をならし、下振れリスクを軽減します。,B
q1,finance_basics-2,1,投資信託とはどのような仕組みですか？,投資信託は、投資の専門家が株式や債券などに分散投資を行い、その運用成果を投資家に分配する仕組みです。複数の専門機関が役割を分担して運用します。,B
q2,finance_basics-2,2,投資信託のコストとして「保有している間ずっと発生する費用」はどれでしょうか？,投資信託にはさまざまなコストがありますが、保有している間ずっとかかるのは「運用管理費用（信託報酬）」です。購入時手数料や信託財産留保額は一時的な費用であり、継続的に発生するものではありません。,B
q3,finance_basics-2,3,インデックスファンドの特徴として正しいのはどれですか？,インデックスファンドは日経平均やS&P500など特定の指数と同じ動きを目指し、市場全体の平均的な成績を目標にします。手間が少なくコストも低いのが特徴です。,A
q4,finance_basics-2,4,アクティブファンドの特徴として正しいのはどれですか？,アクティブファンドは、ファンドマネージャーが企業を分析し、将来有望と思われる銘柄を積極的に組み入れるスタイルです。高い収益の可能性がありますが、手数料も高めです。,C
q5,finance_basics-2,5,シャープレシオとは何を評価する指標ですか？,シャープレシオは、同じリターンでもリスクが小さいほど数値が大きくなる指標です。効率よくリターンを得られているかを測るもので、投資信託を比較する際の参考になります。,C
q1,finance_basics-3,1,円高とはどのような状態を指しますか？,円高とは円の価値が上がることです。1ドル100円が90円になると、同じ1ドルの商品をより少ない円で買えるため、輸入品は安くなります。,B
q2,finance_basics-3,2,外貨を円に戻すときに使われる為替レートを何と呼びますか？,外貨を円に戻すときのレートは「TTB（Telegraphic Transfer Buying rate）」です。逆に円を外貨に変えるときは「TTS（Telegraphic Transfer Selling rate）」が使われます。,D
q3,finance_basics-3,3,為替リスクとは何を意味しますか？,為替リスクとは、為替の変動によって利益にも損失にもなり得る可能性を指します。円高では資産価値が下がり、円安では資産価値が上がるケースがあります。,B
q4,finance_basics-3,4,外貨建て商品を積み立てる際の注意点はどれでしょうか？,外貨建て商品の積立は、為替変動によって毎月の支払額が変動します。円安になると負担が増えるため、家計に影響を与えることがあります。,A
q5,finance_basics-3,5,為替リスクをコントロールする方法として動画で紹介されていたのはどれでしょうか？,通貨を分散して資産を持つことで、一方の通貨が下がってももう一方が上がれば資産全体の価値を保つことができます。円安時にドル資産を持つことで安定化が図れます。,C
q1,finance_basics-4,1,インフレとは何を意味しますか？,インフレとはモノやサービスの値段が上がることです。生活費の上昇を実感する一方で、将来の資産計画に影響する大きな要因となります。,B
q2,finance_basics-4,2,うまい棒が10円から12円に値上がりした場合の物価上昇率はおよそ何％になりますか？,10円の商品が12円になると、上昇幅は2円ですが率でみると20％の値上がりです。小さな金額の変化でも、割合で考えるとインフレの影響は大きいとわかります。,E
q3,finance_basics-4,3,現在の日本で多く見られるインフレのタイプはどれですか？,今の日本はコストが上がることで物価が上がる「コストプッシュ型インフレ」が中心です。エネルギーや原材料価格の上昇、円安が影響しています。,B
q4,finance_basics-4,4,円安がインフレに与える影響として正しいのはどれですか？,円安になると同じ外貨を買うために多くの円が必要になります。その結果、輸入品の価格が上がり、企業は商品価格を引き上げざるを得なくなります。,B
q5,finance_basics-4,5,老後資金2000万円に関して動画で強調されていた視点はどれですか？,大切なのは「金額としての2000万円」ではなく「2000万円分の価値」を将来も確保することです。インフレでお金の価値が下がるため、この視点を持つ必要があります。,C
q1,nisa-1,1,NISAとはどのような制度ですか？,NISAは国が用意した少額投資のための非課税制度です。投資で得た利益に通常かかる約20％の税金が非課税になるのが大きな特徴です。,A
q2,nisa-1,2,新NISAでは年間の非課税投資枠は最大いくらまで拡充されましたか？,新NISAでは年間最大360万円まで非課税で投資できます。さらに生涯の投資枠は1800万円に拡大されました。,C
q3,nisa-1,3,新NISAで同時に利用できるようになったのはどれですか？,新NISAでは積立投資枠と成長投資枠を併用できます。以前は積立NISAか一般NISAかを選ぶ必要がありましたが、より柔軟に使える制度になりました。,A
q4,nisa-1,4,NISAで投資する際に注意すべき点として正しいのはどれですか？,NISAは長期的に運用することでメリットを発揮します。他人の選択を真似するのではなく、自分の年齢や収入、目標に合ったスタイルを選ぶことが重要です。,C
q5,nisa-1,5,NISAを活用する際に投資対象を決めるのは誰の役割ですか？,NISAはあくまで「非課税制度」であり、何を買うかは自分で決める必要があります。投資信託や株式を選び、売却のタイミングも自分で判断します。,C
q1,nisa-2,1,2023年まで存在した旧NISA制度に含まれていたのはどれですか？,旧制度には一般NISAと積立NISAがあり、2023年に終了しました。2024年からは新しいNISAに一本化されています。,A
q2,nisa-2,2,新NISAで同時に利用できるようになった枠はどれですか？,新NISAでは積立投資枠と成長投資枠を同時に利用できます。資金や目的に応じて組み合わせられるようになり、柔軟性が高まりました。,A
q3,nisa-2,3,人気の投資信託である「S&P500」「全世界株式」「米国株式」に共通する特徴はどれですか？,これらは名称が異なっても実質的に米国株が中心で構成されています。本当の分散投資には株式だけでなく債券や不動産、通貨分散も必要です。,C
q4,nisa-2,4,NISAで投資する際に「手数料が安いから良い」とは限らない理由はどれですか？,手数料が安くても利回りが低ければ長期的な成果は小さくなります。逆に多少手数料が高くても利回りが大きければ、資産はより増える可能性があります。,B
q5,nisa-2,5,本当の意味での分散投資に近い考え方はどれでしょうか？,名称違いの株式ファンドだけでは実質分散にならない場合があります。株式に加え債券・現金・REITなど資産クラスを広げ、さらに通貨分散も意識することが重要です。,D
q1,nisa-3,1,NISA口座の名義人が亡くなった場合、相続人が提出すべき書類はどれですか？,名義人が亡くなった場合は「非課税口座開設者死亡届」の提出が必要です。これによりNISA口座の金融資産は死亡日に相続人に譲渡されたとみなされます。,A
q2,nisa-3,2,名義人が亡くなった後、NISA口座内の金融商品はどのように扱われますか？,死亡後の金融商品は相続人のNISA口座には移せません。特定口座や一般口座などNISA以外の口座に移管される形になります。,C
q3,nisa-3,3,離婚時にNISA口座の金融商品を分与する際、一般的に用いられる方法はどれですか？,離婚時にはNISA口座の金融商品を売却して現金化し、その現金を分け合う「換価分割」で対応するのが一般的です。,C
q4,nisa-3,4,離婚時に金融商品を売却せず、評価額をもとに一方が現物を保有し、もう一方に現金を支払う方法はどれですか？,代償分割とは、一方が金融商品をそのまま保有し、もう一方に評価額に相当する現金などを支払う方法です。離婚時点の時価で評価されます。,B
q5,nisa-3,5,破産した場合、NISA口座の資産はどうなりますか？,破産時にはNISA口座の資産も本人の財産とみなされ、差し押さえの対象になります。売却されて債権者への返済に充てられます。,C
q1,ideco-1,1,iDeCoはどのような制度ですか？,iDeCoは公的年金に上乗せできる私的年金制度です。掛け金や運用先を自分で選び、節税効果を得ながら老後資金を準備することができます。,B
q2,ideco-1,2,iDeCoのメリットとして正しいものはどれですか？,iDeCoの掛け金は全額所得控除になり、課税所得を減らすことができます。その結果、住民税や所得税の節税につながります。,A
q3,ideco-1,3,iDeCoのデメリットとして正しいものはどれですか？,iDeCoは原則として60歳まで引き出せません。老後資金のための制度であるため途中解約はできず、流動性が低い点はデメリットです。,B
q4,ideco-1,4,iDeCoの運用に関するリスクとして正しいものはどれですか？,iDeCoは投資信託や元本保証型の商品から選べますが、元本割れや物価上昇に追いつけないリスクがあります。国の制度でも投資リスクは存在します。,C
q5,ideco-1,5,iDeCoの受け取り時に注意すべき点はどれですか？,iDeCoの受け取り時の控除は退職金や公的年金と共通です。タイミングによって控除枠が使えなくなり、受け取り時に課税される可能性があるので注意が必要です。,B
q1,ideco-2,1,自営業者やフリーランスがiDeCoを利用するメリットとして正しいのはどれですか？,自営業者やフリーランスは掛け金上限が高く、節税効果を大きく得られます。さらに厚生年金がないため、受け取り時に他の年金と重なるリスクも少ないのが特徴です。,C
q2,ideco-2,2,自営業者やフリーランスがiDeCoを利用する際のデメリットはどれですか？,iDeCoは原則60歳まで引き出せません。自営業者やフリーランスにとって万が一の生活資金として使えないため、流動性に欠ける点はデメリットです。,B
q3,ideco-2,3,専業主婦や扶養内で働く人がiDeCoを活用する意義はどれですか？,専業主婦や扶養内の方は年金や退職金が少ないため、老後の備えとしてiDeCoの活用は十分に意味があります。受け取り時も税金を気にしなくて良いケースが多いです。,A
q4,ideco-2,4,専業主婦や扶養内の人がiDeCoを利用する際の注意点はどれですか？,専業主婦や扶養内の方は課税所得がないため、iDeCoの大きなメリットである掛け金の所得控除が使えません。加入コストだけが負担になる可能性もあります。,A
q5,ideco-2,5,専業主婦や扶養内で働く人がiDeCoを始める前に確認すべき点はどれですか？,iDeCoには口座管理手数料などのコストがかかります。専業主婦や扶養内の人は節税効果を得にくいため、コストが負担にならないか事前に確認することが重要です。,B
q1,social_security-1,1,毎月の家計改善を考える際に、最初に見直すべきとされるのはどの支出でしょうか？,家計を改善する第一歩は固定費の見直しです。毎月必ず発生する支出を抑えることで、長期的に大きな効果が得られます。,C
q2,social_security-1,2,日本人の生命保険加入率はどのくらいでしょうか？,日本人の生命保険加入率は80%以上で、世界的にも非常に高い水準です。社会保障が手厚い中でこれほど加入率が高いのは珍しい特徴です。,C
q3,social_security-1,3,月3万円を20年間民間保険に払い続けた場合の総額はいくらになるでしょうか？,月3万円を20年間払うと総額720万円です。長期にわたり大きな金額を支払うことになるため、適切な保険選びが重要になります。,D
q4,social_security-1,4,「混ぜるな危険」と説明されていた保険商品の特徴はどれでしょうか？,多くの民間保険は保障・投資・貯蓄が混在しています。一見便利ですが、分野ごとに分けた方が効果的に目的を達成できます。,B
q5,social_security-1,5,民間保険に加入しすぎる主な原因として挙げられるのはどれでしょうか？,多くの人が公的保険制度の内容を理解していないため、必要以上に民間保険へ加入してしまいます。まず制度を正しく知ることが大切です。,B
q1,social_security-2,1,日本の社会保障制度を支える主な財源は何でしょうか？,社会保障制度は「保険料」と「税金」で成り立っています。約40%は税金で賄われ、残りを保険料で補い、景気や高齢化により割合は変動します。,A
q2,social_security-2,2,社会保障制度の基本的な考え方として正しいものはどれでしょうか？,社会保障制度は「相互扶助」の仕組みです。健康で働けるときに保険料を納め、困ったときには給付を受けることで、みんなで支え合う仕組みになっています。,C
q3,social_security-2,3,社会保障制度の4つの柱に含まれないものはどれでしょうか？,社会保障の4つの柱は「社会保険」「社会福祉」「公的扶助」「保健医療・公衆衛生」です。個人年金制度は民間の仕組みであり含まれません。,E
q4,social_security-2,4,社会保険に含まれる5つの制度として正しい組み合わせはどれでしょうか？,社会保険は「医療保険」「年金保険」「介護保険」「雇用保険」「労災保険」の5つです。生活や働き方に応じて保障内容が異なります。,A
q5,social_security-2,5,自営業者に原則として適用されない社会保険はどれでしょうか？,自営業者は「国民健康保険」「国民年金」「介護保険」には加入しますが、雇用保険は原則として適用されません。ただし労災保険は特別加入制度で利用可能です。,D
q1,social_security-3,1,会社員やパート・アルバイトが加入していることが多い医療保険はどれでしょうか？,会社員やパート・アルバイトは健康保険に加入することが一般的です。保険料は会社と本人で折半し、療養・高額療養費・出産手当などの給付が受けられます。,C
q2,social_security-3,2,国民健康保険の保険料はどのように決まるでしょうか？,国民健康保険料は前年の所得や世帯構成を基に決まります。所得割・均等割・平等割の仕組みで算出され、全額個人負担で支払います。,B
q3,social_security-3,3,会社を辞めて健康保険から国民健康保険へ移る際に必要な手続きはどれでしょうか？,会社を辞めた場合、健康保険証を返却し「資格喪失証明書」を受け取り、それを持って区役所で国民健康保険の手続きを行う必要があります。,C
q4,social_security-3,4,退職後に一定条件を満たせば2年間元の健康保険に加入できる制度はどれでしょうか？,退職後、2か月以上の加入歴があり20日以内に手続きすれば「任意継続被保険者制度」を利用できます。ただし保険料は全額自己負担です。,B
q5,social_security-3,5,75歳以上になると自動的に移行する医療制度はどれでしょうか？,75歳以上になると自動的に「後期高齢者医療制度」に移行します。65～74歳は前期高齢者として医療制度に加入し、年齢で区切られています。,C
q1,social_security-4,1,労災保険の特徴として正しいものはどれでしょうか？,労災保険は業務中や通勤中の災害に備える制度で、保険料は全額事業主が負担します。自営業者などは特別加入制度を利用することが可能です。,C
q2,social_security-4,2,雇用保険の「基本手当」（求職者給付）を受給するための条件として正しいものはどれでしょうか？,基本手当を受給するには、原則として離職前2年間に12か月以上の加入が必要です。ただし会社都合退職の場合は、1年間に6か月以上の加入で受給できます。,B
q3,social_security-4,3,教育訓練給付制度の「一般教育訓練給付」において、自己負担額のうち支給される割合はどれでしょうか？,一般教育訓練給付では、自己負担した受講料の20％が支給されます。上限額があるため、受講前に対象講座や支給条件を確認することが重要です。,C
q4,social_security-4,4,介護保険の被保険者区分として正しいものはどれでしょうか？,介護保険の被保険者は、第1号が65歳以上、第2号が40歳～64歳です。要介護・要支援の認定を受けた場合に給付を受けることができます。,B
q5,social_security-4,5,介護休業給付について正しいものはどれでしょうか？,介護休業給付は、対象となる家族1人につき通算93日まで給付を受けられます。育児休業給付と並び、仕事と家庭を両立する支援制度のひとつです。,A
q1,economics-1,1,金融とは何を指す言葉でしょうか？,金融とは「お金の融通」、つまりお金の貸し借りを指します。銀行への預金や株・債券の購入も、お金を貸す行為の一つであり、そこから利益が生まれます。,B
q2,economics-1,2,景気が悪化したとき、金利はどうなる傾向があるでしょうか？,景気が悪いと企業が資金を借りる余力がなくなるため、金利を下げないと借り手がつきません。そのため不況時には金利は下がりやすい傾向があります。,C
q3,economics-1,3,景気を刺激するために金利を下げて資金を借りやすくする政策を何というでしょうか？,金融緩和政策は金利を下げて企業や個人がお金を借りやすくする仕組みです。資金需要が増え、経済活動が活発になり、景気を押し上げる効果があります。,C
