id,title,category,description,outcomes,isPublished,position,iconUrl
tax,税金,knowledge,税金の基本的な仕組みから、給与所得・投資収益・その他の所得まで幅広く学びます。金融商品と税金の関係も解説し、税金が家計や投資にどのように影響するかを理解します。,このコースを終えると、税金を単なる支出として捉えるのではなく、仕組みを理解して節税や資産形成に役立てられるようになります。税に強くなることで、家計に余裕が生まれます。,TRUE,13,/courses/tax.png
tax_return,確定申告,product,確定申告の流れや仕組みを学び、所得控除・税額控除といった制度の使い方を理解します。初心者でも迷わず実践できるよう、手続きの基本から解説します。,修了後は、自分で確定申告を行えるようになり、控除制度を活用して支払う税金を抑えることができます。正しく申告する力がつき、税金面での無駄を減らせるようになります。,TRUE,14,/courses/tax_return.png
life_planning,ライフプランニング・家計管理,life,人生のイベントごとに必要となるお金や、理想の人生を描くための計画を学びます。4大支出をはじめ、家計を健全に管理するための方法を体系的に理解します。,受講後は、将来に必要なお金を見通せるようになり、計画的な家計管理ができるようになります。理想のライフスタイルを現実に近づける資金計画を、自ら描き実践できるようになります。,TRUE,15,/courses/life_planning.png
real_estate,不動産基礎,knowledge,不動産投資の基本から、レバレッジ効果、メリット・リスク、出口戦略まで幅広く学びます。さらにREITなどの選択肢も理解し、不動産投資を俯瞰的に捉えます。,修了後は、不動産投資の可能性とリスクを理解したうえで、具体的に検討できるようになります。安全性を意識した判断基準を持ち、自分の資産形成の一環として取り入れることが可能です。,TRUE,16,/courses/real_estate.png
inheritance,相続,knowledge,相続の仕組みや方法、相続税や贈与税など、知っておくべき基礎を整理します。家族に迷惑をかけないために、今からできる準備や対応も学びます。,このコースを終えると、相続に関する誤解や不安が解消され、正しい知識をもとに事前の対策ができるようになります。将来のトラブルを防ぎ、大切な資産を守る備えが可能になります。,TRUE,17,/courses/inheritance.png
hometown_tax,ふるさと納税,product,ふるさと納税の仕組みとメリットを基礎から解説し、実際に利用する方法までを学びます。制度を活用して節税と特産品の両方を得るためのコツを理解します。,修了後は、ふるさと納税を自信を持って活用できるようになり、節税効果と地域貢献を両立できます。日常の生活にプラスの価値をもたらす制度として実践に移せます。,TRUE,18,/courses/hometown_tax.png
mileage_trip,マイル旅,life,航空会社のマイレージサービスの仕組みや、効果的なマイルの貯め方・使い方を学びます。旅行をよりお得に楽しむための実践的な知識を身につけます。,このコースを終えると、日常生活で効率よくマイルを貯め、旅行費用を大幅に節約できるようになります。旅の選択肢が広がり、ライフスタイルに楽しさを加える力がつきます。,TRUE,19,/courses/mileage_trip.png
point_hacking,ポイント活用,life,キャッシュレス決済や各種ポイントサービスを賢く使う方法を学びます。ポイントの種類や貯め方、活用術を理解し、生活に役立つスキルとして定着させます。,受講後は、日常の支払いを工夫するだけで資産を増やせるようになり、節約と楽しさを両立できます。ポイ活を習慣化し、暮らしの質を高める実践的な力が身につきます。,TRUE,20,/courses/point_hacking.png
ai,AI,life,AIの基礎知識から、世界市場の動向、実際の活用方法までを学びます。最新技術を自分の生活や仕事にどう取り入れるかを考えるきっかけを提供します。,修了後は、AIを単なる流行ではなく、自分の成長やキャリアに役立つ道具として捉えられるようになります。学んだ知識を実践に活かし、新しい可能性に挑戦できます。,TRUE,21,/courses/ai.png
global_finance,世界の金融,knowledge,海外の金融制度や日本人が見落としがちな考え方を学びます。異なる文化や制度を理解することで、視野を広げ、グローバルなお金の常識を身につけます。,受講後は、日本にとどまらないお金の考え方を持ち、多様な視点で資産形成を考えられるようになります。誤った固定観念を手放し、柔軟な金融リテラシーを獲得できます。,TRUE,22,/courses/global_finance.png
kids_money_education,子供へのお金の教育,life,子供へのお小遣いの考え方や具体的な方法を通じて、次世代に伝えるお金の教育を学びます。家庭でできる実践的なアプローチを理解します。,修了後は、子供に健全な金銭感覚を伝えられるようになり、将来の自立や生活力を育む基盤を作れます。教育を通じて、家庭全体でお金に前向きに向き合えます。,TRUE,23,/courses/kids_money_education.png
fx,FX,product,外国為替証拠金取引（FX）の仕組みを基礎から学び、利益の出し方やリスク管理を理解します。初心者でも取り組めるように、実践的な知識を整理します。,受講後は、FXのメリットとリスクを把握し、自分に合った投資スタイルを検討できるようになります。冷静に判断する力がつき、失敗を減らす実践的スキルを得られます。,TRUE,24,/courses/fx.png
crypto,暗号通貨,product,暗号資産やブロックチェーンの仕組みを理解し、今後の可能性やリスクについて学びます。最新の金融トレンドを俯瞰できる内容です。,修了後は、暗号通貨を単なる投機対象ではなく、技術や社会の変化として捉えられるようになります。リスクを理解したうえで、自分の投資戦略に取り入れる選択が可能です。,TRUE,25,/courses/crypto.png
nft,NFT,product,NFTの仕組みや魅力、リスク管理までを幅広く学びます。デジタル資産の新しい可能性を理解し、活用の第一歩を踏み出すための基礎を提供します。,受講後は、NFTを単なるブームとしてではなく、資産やビジネスの選択肢として捉えられるようになります。仕組みを理解することで、安全に活用できる知識を得られます。,TRUE,26,/courses/nft.png
metaverse,メタバース,life,メタバースの概念や仕組み、今後の可能性について学びます。現実とデジタルが融合する新しい世界を理解し、自分の生活やビジネスにどう関わるかを考えます。,修了後は、メタバースを現実的な選択肢として捉え、自分のキャリアや暮らしに役立てられる視点が身につきます。未来の変化に備え、新しい環境に柔軟に対応できるようになります。,TRUE,27,/courses/metaverse.png
